pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio
25320,0.42,0.25,0.34,1.19
25321,0.42,0.24,0.34,1.16
25357,0.41,0.24,0.34,1.16
25272,0.42,0.25,0.33,1.18
25245,0.42,0.24,0.34,1.19
21641,0.48,0.15,0.37,1.07
20607,0.41,0.28,0.32,1.12
20695,0.44,0.23,0.34,1.17
20394,0.42,0.25,0.33,1.16
21132,0.44,0.23,0.33,1.19
22031,0.43,0.23,0.34,1.22
22722,0.42,0.24,0.34,1.23
23029,0.42,0.24,0.34,1.22
23552,0.41,0.24,0.35,1.24
23861,0.41,0.24,0.34,1.22
24222,0.41,0.24,0.34,1.21
24539,0.41,0.25,0.34,1.19
24713,0.42,0.24,0.34,1.18
24749,0.42,0.24,0.34,1.19
24768,0.42,0.24,0.34,1.19
24880,0.42,0.24,0.34,1.18
24938,0.42,0.25,0.34,1.19
25186,0.42,0.24,0.34,1.2
25104,0.42,0.24,0.34,1.21
25291,0.42,0.24,0.34,1.19
25487,0.42,0.24,0.34,1.19
25451,0.42,0.24,0.34,1.2
25351,0.42,0.24,0.34,1.19
25493,0.42,0.24,0.34,1.19
25513,0.41,0.24,0.34,1.17
25201,0.42,0.25,0.33,1.17
21931,0.48,0.15,0.37,1.09
20929,0.4,0.29,0.31,1.13
21101,0.44,0.22,0.34,1.14
20937,0.42,0.25,0.33,1.15
22339,0.44,0.23,0.33,1.23
23931,0.42,0.23,0.35,1.24
24947,0.42,0.24,0.34,1.24
25920,0.42,0.24,0.35,1.22
26428,0.41,0.24,0.35,1.22
26573,0.42,0.25,0.34,1.22
27019,0.42,0.24,0.34,1.21
26975,0.42,0.24,0.34,1.21
26901,0.42,0.24,0.34,1.2
26949,0.41,0.24,0.34,1.19
26996,0.41,0.25,0.34,1.18
26762,0.42,0.25,0.34,1.17
26778,0.42,0.24,0.34,1.19
26764,0.42,0.24,0.34,1.2
26955,0.42,0.24,0.34,1.19
27041,0.42,0.24,0.34,1.18
26995,0.42,0.24,0.34,1.19
27257,0.42,0.24,0.34,1.18
27129,0.42,0.25,0.34,1.16
27082,0.42,0.24,0.34,1.16
27278,0.42,0.24,0.34,1.18
27163,0.42,0.25,0.33,1.19
21456,0.48,0.15,0.37,1.06
20370,0.41,0.28,0.32,1.1
20085,0.44,0.23,0.33,1.12
19861,0.42,0.25,0.33,1.14
21000,0.44,0.22,0.33,1.17
22219,0.43,0.23,0.34,1.21
23026,0.42,0.24,0.34,1.22
23340,0.42,0.24,0.34,1.22
23891,0.42,0.24,0.34,1.21
24400,0.41,0.24,0.34,1.21
24821,0.42,0.24,0.34,1.18
24820,0.41,0.24,0.34,1.17
25066,0.42,0.25,0.34,1.15
24955,0.42,0.24,0.34,1.16
25001,0.42,0.24,0.34,1.17
24868,0.42,0.24,0.34,1.18
24789,0.42,0.25,0.34,1.19
24914,0.41,0.24,0.34,1.21
25031,0.42,0.24,0.34,1.18
25373,0.42,0.24,0.34,1.19
25395,0.42,0.24,0.34,1.19
25342,0.42,0.25,0.34,1.2
25491,0.42,0.24,0.34,1.19
25356,0.41,0.25,0.34,1.2
25515,0.42,0.24,0.34,1.2
25574,0.42,0.25,0.34,1.18
21789,0.49,0.14,0.37,1.1
20707,0.4,0.28,0.31,1.12
20618,0.44,0.23,0.34,1.13
20433,0.42,0.25,0.33,1.15
21702,0.44,0.23,0.33,1.19
22931,0.43,0.23,0.34,1.23
23686,0.42,0.24,0.34,1.22
24383,0.42,0.24,0.34,1.21
24869,0.42,0.24,0.34,1.23
25370,0.42,0.24,0.34,1.23
25593,0.41,0.25,0.34,1.24
25955,0.41,0.24,0.34,1.2
26186,0.41,0.24,0.34,1.19
26175,0.42,0.24,0.34,1.18
26150,0.42,0.24,0.34,1.18
26155,0.42,0.24,0.34,1.2
26195,0.42,0.24,0.34,1.19
26159,0.42,0.25,0.34,1.2
26151,0.42,0.24,0.33,1.2
26324,0.42,0.24,0.34,1.19
26450,0.42,0.24,0.34,1.22
26563,0.42,0.24,0.34,1.22
26691,0.41,0.24,0.34,1.21
26834,0.41,0.25,0.34,1.2
27023,0.42,0.24,0.34,1.18
27020,0.42,0.24,0.34,1.18
21576,0.48,0.16,0.37,1.07
20619,0.41,0.28,0.32,1.11
20339,0.44,0.23,0.33,1.16
20387,0.42,0.24,0.34,1.19
21507,0.44,0.23,0.33,1.22
22764,0.43,0.23,0.34,1.21
23759,0.42,0.24,0.34,1.21
24433,0.41,0.24,0.34,1.24
24945,0.42,0.24,0.34,1.24
25298,0.41,0.24,0.34,1.22
25411,0.41,0.25,0.34,1.18
25736,0.42,0.24,0.34,1.18
25775,0.42,0.24,0.34,1.18
25670,0.42,0.25,0.34,1.18
25788,0.42,0.24,0.34,1.18
25882,0.42,0.24,0.34,1.17
25927,0.42,0.24,0.34,1.17
25893,0.42,0.25,0.34,1.16
25924,0.42,0.24,0.34,1.17
25775,0.42,0.25,0.33,1.17
25550,0.42,0.25,0.34,1.17
25694,0.42,0.24,0.34,1.19
25648,0.42,0.25,0.34,1.2
25548,0.42,0.24,0.34,1.17
25544,0.42,0.24,0.34,1.18
25567,0.42,0.25,0.34,1.17
21792,0.48,0.15,0.37,1.08
20542,0.41,0.28,0.31,1.1
20577,0.44,0.22,0.34,1.14
20363,0.42,0.25,0.33,1.17
21328,0.43,0.23,0.34,1.2
22479,0.43,0.23,0.34,1.22
23243,0.42,0.24,0.34,1.21
23760,0.42,0.24,0.34,1.21
24085,0.42,0.24,0.34,1.2
24575,0.42,0.24,0.34,1.22
24790,0.42,0.24,0.34,1.2
24750,0.41,0.24,0.34,1.19
24650,0.42,0.24,0.34,1.19
24932,0.42,0.24,0.34,1.17
24873,0.42,0.25,0.34,1.19
24899,0.42,0.25,0.34,1.19
24806,0.42,0.24,0.34,1.2
24676,0.41,0.25,0.34,1.2
24859,0.42,0.25,0.34,1.19
24742,0.42,0.24,0.34,1.2
24920,0.42,0.24,0.34,1.19
24780,0.42,0.25,0.34,1.18
24865,0.42,0.24,0.34,1.17
24761,0.42,0.24,0.34,1.17
24500,0.42,0.25,0.34,1.16
24683,0.42,0.24,0.34,1.16
21730,0.48,0.15,0.37,1.09
20755,0.41,0.28,0.31,1.15
20769,0.43,0.22,0.34,1.17
20554,0.42,0.25,0.34,1.18
21786,0.43,0.23,0.33,1.22
22949,0.42,0.23,0.35,1.24
23918,0.42,0.24,0.34,1.24
24737,0.42,0.24,0.35,1.25
25223,0.41,0.25,0.34,1.24
25669,0.41,0.24,0.34,1.2
25970,0.42,0.24,0.34,1.2
26140,0.42,0.24,0.34,1.18
26560,0.41,0.24,0.34,1.21
